Stock Name,Symbol
ACC Ltd.,ACC
Abbott India Ltd.,ABBOTINDIA
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Transmission Ltd.,ADANITRANS
Ambuja Cements Ltd.,AMBUJACEM
Asian Paints Ltd.,ASIANPAINT
Aurobindo Pharma Ltd.,AUROPHARMA
Avenue Supermarts Ltd.,DMART
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bandhan Bank Ltd.,BANDHANBNK
Bank of Baroda,BANKBARODA
Berger Paints India Ltd.,BERGEPAINT
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bharti Infratel Ltd.,INFRATEL
Biocon Ltd.,BIOCON
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
Cadila Healthcare Ltd.,CADILAHC
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
GAIL (India) Ltd.,GAIL
General Insurance Corporation of India,GICRE
Godrej Consumer Products Ltd.,GODREJCP
Grasim Industries Ltd.,GRASIM
HCL Technologies Ltd.,HCLTECH
HDFC Asset Management Company Ltd.,HDFCAMC
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Havells India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hindalco Industries Ltd.,HINDALCO
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Hindustan Zinc Ltd.,HINDZINC
Housing Development Finance Corporation Ltd.,HDFC
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
ITC Ltd.,ITC
Indian Oil Corporation Ltd.,IOC
Indraprastha Gas Ltd.,IGL
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
InterGlobe Aviation Ltd.,INDIGO
JSW Steel Ltd.,JSWSTEEL
Kotak Mahindra Bank Ltd.,KOTAKBANK
Larsen & Toubro Ltd.,LT
Lupin Ltd.,LUPIN
Mahindra & Mahindra Ltd.,M&M
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Motherson Sumi Systems Ltd.,MOTHERSUMI
Muthoot Finance Ltd.,MUTHOOTFIN
NHPC Ltd.,NHPC
NMDC Ltd.,NMDC
NTPC Ltd.,NTPC
Nestle India Ltd.,NESTLEIND
Oil & Natural Gas Corporation Ltd.,ONGC
Oracle Financial Services Software Ltd.,OFSS
Page Industries Ltd.,PAGEIND
Petronet LNG Ltd.,PETRONET
Pidilite Industries Ltd.,PIDILITIND
Piramal Enterprises Ltd.,PEL
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Punjab National Bank,PNB
Reliance Industries Ltd.,RELIANCE
SBI Life Insurance Company Ltd.,SBILIFE
Shree Cement Ltd.,SHREECEM
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Siemens Ltd.,SIEMENS
State Bank of India,SBIN
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Tata Consultancy Services Ltd.,TCS
Tata Motors Ltd.,TATAMOTORS
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Titan Company Ltd.,TITAN
Torrent Pharmaceuticals Ltd.,TORNTPHARM
UPL Ltd.,UPL
UltraTech Cement Ltd.,ULTRACEMCO
United Breweries Ltd.,UBL
United Spirits Ltd.,MCDOWELL-N
Vedanta Ltd.,VEDL
Wipro Ltd.,WIPRO
Zee Entertainment Enterprises Ltd.,ZEEL
